Name,Body,Year,Price,Transmission,Mileage,Volume,Customs Clearance,Color,задний,передний,полный
11,12,2016,3500000,0,235000.0,1.0,1,5,0,1,0
11,12,2014,4100000,0,146000.0,1.0,1,9,0,1,0
11,12,2019,4850000,0,59000.0,1.0,1,4,0,1,0
11,12,2012,3650000,0,78000.0,1.0,1,7,0,1,0
11,12,2010,3600000,0,163000.0,1.0,1,7,0,1,0
11,12,2019,5190000,0,10815.0,1.0,1,5,0,1,0
11,12,2014,3900000,2,147000.0,1.0,1,8,0,1,0
11,12,2016,3800000,0,204000.0,1.0,1,1,0,1,0
11,12,2019,5400000,0,85000.0,1.0,1,9,0,1,0
11,12,2014,4100000,0,187000.0,1.0,1,2,0,1,0
11,12,2010,3700000,0,130000.0,1.0,1,2,0,1,0
11,12,2018,4500000,0,60000.0,1.0,1,1,0,1,0
12,0,2008,7500000,0,110000.0,5.3,1,1,0,0,1
12,0,2007,10500000,0,160000.0,5.3,1,1,0,0,1
12,0,2007,16000000,0,171000.0,5.3,1,11,0,0,1
12,0,2004,11000000,0,200000.0,5.3,1,11,0,0,1
13,0,2012,8000000,0,200000.0,5.3,1,1,0,0,1
13,0,2012,14000000,0,172000.0,5.3,1,11,0,0,1
13,0,2013,15000000,0,150000.0,5.3,0,0,0,0,1
13,0,2014,16200000,0,190000.0,5.3,1,11,0,0,1
13,0,2008,13800000,0,195000.0,5.3,1,11,0,0,1
13,0,2009,9500000,0,330000.0,5.3,1,11,0,0,1
13,0,2007,12500000,0,315000.0,5.3,1,1,0,0,1
13,0,2013,15500000,0,180000.0,5.3,1,11,0,0,1
14,2,2014,6785000,0,190200.0,1.8,1,9,0,0,1
14,2,2014,6150000,0,160155.0,1.8,1,7,0,0,1
14,2,2013,6645000,0,123150.0,1.8,1,1,0,0,1
14,2,2014,6678000,0,130500.0,1.8,1,11,0,1,0
14,2,2020,9370000,0,56023.0,1.8,1,8,0,1,0
14,2,2015,6630000,2,110000.0,1.8,1,1,0,1,0
